Depth,Age,dD
398.2,13609.2,-411.8
398.75,13637.5,-412.8
399.3,13665.8,-419
399.85,13696.9,-417.5
400.4,13727.9,-414
400.95,13758.9,-416.6
401.5,13787.5,-410.8
402.05,13816.1,-403.4
402.6,13844.7,-413.7
403.15,13873.6,-410.2
403.7,13902.4,-415.9
404.25,13931.3,-416.8
404.8,13962.2,-417.3
405.35,13993.2,-417.1
405.9,14024.1,-411.9
406.45,14053.9,-415.5
407,14083.6,-413.4
407.55,14113.3,-405
408.1,14141.3,-417.2
408.65,14169.3,-405.5
409.2,14197.2,-414.3
409.75,14226.2,-414.8
410.3,14255.2,-412
410.85,14284.2,-407.5
411.4,14310.2,-403.4
411.95,14336.2,-402.3
412.5,14362.2,-405.9
413.05,14389.9,-410.4
413.6,14417.7,-410.8
414.15,14445.4,-413.4
414.7,14472.4,-406
415.25,14499.4,-402.6
415.8,14526.4,-404.3
416.35,14552.9,-406.9
416.9,14579.5,-411.2
417.45,14606.1,-392.2
418,14629.4,-397.7
418.55,14652.6,-399.1
419.1,14675.9,-402.3
419.65,14700.8,-401.1
420.2,14725.7,-403.9
420.75,14750.7,-401.2
421.3,14778.4,-418.2
421.85,14806.2,-408.8
422.4,14834,-402.3
422.95,14862,-411.1
423.5,14890,-411.1
424.05,14918.1,-407.3
424.6,14947.2,-413.6
425.15,14976.3,-411.2
425.7,15005.4,-418.6
426.25,15036.5,-415.7
426.8,15067.6,-411.3
427.35,15098.7,-416.2
427.9,15128.4,-412.6
428.45,15158.1,-407.6
429,15187.7,-410.1
429.55,15216.4,-411.6
430.1,15245,-407.5
430.65,15273.7,-409.9
431.2,15303.8,-411.3
431.75,15334,-419
432.3,15364.2,-399.4
432.85,15393,-413
433.4,15421.9,-416.4
433.95,15450.8,-416.3
434.5,15481,-410
435.05,15511.2,-410.7
435.6,15541.4,-412.7
436.15,15571.8,-411.8
436.7,15602.2,-414.2
437.25,15632.6,-416.6
437.8,15665.6,-420
438.35,15698.5,-418.5
438.9,15731.5,-419.6
439.45,15765.1,-418.7
440,15798.7,-420.1
440.55,15832.3,-419.8
441.1,15864.6,-414
441.65,15897,-416.2
442.2,15929.4,-417.6
442.75,15962.6,-421.6
443.3,15995.8,-416.6
443.85,16029.1,-423.8
444.4,16062.2,-414.2
444.95,16095.4,-417.8
445.5,16128.6,-416.9
446.05,16161.5,-419.1
446.6,16194.3,-417.3
447.15,16227.1,-419.1
447.7,16261.3,-420.3
448.25,16295.5,-422.5
448.8,16329.8,-417.7
449.35,16364.4,-425.4
449.9,16399.1,-420.8
450.45,16433.8,-421.1
451,16469.8,-424.1
451.55,16505.8,-426.8
452.1,16541.9,-425.9
452.65,16577.4,-420.9
453.2,16612.9,-421.9
453.75,16648.4,-421.7
454.3,16684.5,-422.6
454.85,16720.6,-429.8
455.4,16756.7,-423.9
455.95,16793.1,-421.9
456.5,16829.5,-425.8
457.05,16865.8,-426
457.6,16903.3,-425.7
458.15,16940.8,-426.4
458.7,16978.3,-434.2
459.25,17017.7,-427.5
459.8,17057.2,-429.9
460.35,17096.7,-428.1
460.9,17136.3,-426.1
461.45,17175.8,-438.3
462,17215.4,-429.4
462.55,17257,-434.5
463.1,17298.7,-433.9
463.65,17340.3,-434.6
464.2,17382.9,-439.3
464.75,17425.5,-431.6
465.3,17468.1,-432
465.85,17508.8,-435.5
466.4,17549.4,-429.4
466.95,17590.1,-437.2
467.5,17632.5,-429.5
468.05,17674.9,-441.5
468.6,17717.3,-436.2
469.15,17760.8,-435.6
469.7,17804.2,-439.9
470.25,17847.6,-435.5
470.8,17892.4,-439.7
471.35,17937.1,-442.5
471.9,17981.9,-442.1
472.45,18028.4,-442.1
473,18075,-443.5
473.55,18121.6,-433.9
474.1,18165.2,-439
474.65,18208.8,-443.7
475.2,18252.4,-438.6
475.75,18296.9,-438.4
476.3,18341.4,-442.5
476.85,18385.8,-444.2
477.4,18431.5,-443.1
477.95,18477.1,-440.5
478.5,18522.7,-440.7
479.05,18566.3,-438.8
479.6,18610,-440.3
480.15,18653.6,-441.9
480.7,18698.1,-441.7
481.25,18742.6,-441.4
481.8,18787.1,-442.3
482.35,18832.8,-441.6
482.9,18878.6,-447.4
483.45,18924.3,-437.2
484,18966.7,-440.8
484.55,19009,-436.5
485.1,19051.3,-444.8
485.65,19095.6,-440.5
486.2,19140,-442.9
486.75,19184.3,-441.4
487.3,19227.8,-439.3
487.85,19271.3,-443.4
488.4,19314.8,-438.2
488.95,19358.8,-446
489.5,19402.7,-441.3
490.05,19446.6,-435.8
490.6,19491,-447.9
491.15,19535.3,-444.6
491.7,19579.6,-436.3
492.25,19622.2,-442.5
492.8,19664.8,-441.3
493.35,19707.4,-432
493.9,19748.4,-442.6
494.45,19789.5,-438.7
495,19830.5,-445.1
495.55,19874.1,-440.2
496.1,19917.7,-443.8
496.65,19961.3,-443
497.2,20005.6,-446.5
497.75,20049.9,-441.5
498.3,20094.2,-446.5
498.85,20137.5,-444.9
499.4,20180.9,-438.9
499.95,20224.2,-438.3
500.5,20265,-436.4
501.05,20305.8,-442.4
501.6,20346.6,-448
502.15,20390.1,-444.2
502.7,20433.5,-441.7
503.25,20476.9,-439.5
503.8,20517.8,-442.1
504.35,20558.7,-437.5
504.9,20599.6,-444.1
505.45,20641.4,-440.6
506,20683.3,-442.5
506.55,20725.1,-443.5
507.1,20768.3,-443.7
507.65,20811.5,-446.5
508.2,20854.7,-438.8
508.75,20895.1,-438.3
509.3,20935.5,-441.2
509.85,20975.9,-442.3
510.4,21018.2,-443.3
510.95,21060.5,-443.2
511.5,21102.9,-439.5
512.05,21144,-441.5
512.6,21185.1,-441.8
513.15,21226.3,-442.2
513.7,21269.1,-441.7
514.25,21311.8,-446.3
514.8,21354.6,-440.9
515.35,21396.3,-442.5
515.9,21437.9,-437.8
516.45,21479.5,-439.7
517,21523.1,-445.6
517.55,21566.7,-445.7
518.1,21610.2,-440.6
518.65,21651,-436.9
519.2,21691.8,-432.8
519.75,21732.6,-446.1
520.3,21776.2,-443.7
520.85,21819.9,-438.8
521.4,21863.6,-443.3
521.95,21909,-446.2
522.5,21954.3,-442.9
523.05,21999.7,-439.2
523.6,22042.1,-437.7
524.15,22084.5,-436.2
524.7,22127,-442
525.25,22172.1,-440.3
525.8,22217.3,-443.1
526.35,22262.5,-442.2
526.9,22309.4,-444.4
527.45,22356.3,-445.4
528,22403.3,-443.5
528.55,22449.1,-438.3
529.1,22494.9,-445.8
529.65,22540.7,-445
530.2,22585,-435.6
530.75,22629.2,-440.3
531.3,22673.5,-442
531.85,22717.9,-437.9
532.4,22762.4,-440.8
532.95,22806.9,-445.1
